Column1,Name,P,A
1,Bukayo Saka,17,5
2,Martin Ødegaard,15,4
3,Fabio Vieira,8,3
4,Gabriel Martinelli,16,2
5,William Saliba,18,1
6,Declan Rice,18,1
7,Kai Havertz,18,1
8,Ben White,17,1
9,Oleksandr Zinchenko,17,1
10,Eddie Nketiah,17,1
11,Leandro Trossard,14,1
12,Gabriel Jesus,13,1
13,Takehiro Tomiyasu,12,1
14,Emile Smith Rowe,5,1
15,Gabriel,16,0
16,David Raya,13,0
17,Jorginho,11,0
18,Jakub Kiwior,7,0
19,Reiss Nelson,7,0
20,Aaron Ramsdale,5,0
21,Thomas Partey,4,0
22,Jurriën Timber,1,0
23,Mohamed Elneny,1,0
24,Myles Lewis-Skelly,0,0
25,Bradley Ibrahim,0,0
