Column1,Name,P,yc,rc,Pts
1,Ashley Young,15,5,1,8
2,Idrissa Gueye,14,6,0,6
3,Jarrad Branthwaite,16,6,0,6
4,Abdoulaye Doucouré,17,4,0,4
5,James Garner,18,3,0,3
6,Nathan Patterson,17,3,0,3
7,Jordan Pickford,19,3,0,3
8,Amadou Onana,15,2,0,2
9,André Gomes,2,2,0,2
10,James Tarkowski,19,2,0,2
11,Dominic Calvert-Lewin,15,1,0,1
12,Vitalii Mykolenko,14,1,0,1
13,Michael Keane,6,1,0,1
14,Arnaut Danjuma,11,0,0,0
15,Jenson Metcalfe,0,0,0,0
16,Tyler Onyango,1,0,0,0
17,Mackenzie Hunt,0,0,0,0
18,Jack Harrison,13,0,0,0
19,Elijah Campbell,0,0,0,0
20,Ben Godfrey,2,0,0,0
21,Seamus Coleman,1,0,0,0
22,João Virgínia,0,0,0,0
23,Andy Lonergan,0,0,0,0
