    ,Name,P,G
1,Scott McTominay,16,5
2,Bruno Fernandes,18,3
3,Alejandro Garnacho,17,3
4,Marcus Rashford,18,2
5,Diogo Dalot,17,1
6,Rasmus Højlund,15,1
7,Christian Eriksen,13,1
8,Anthony Martial,13,1
9,Victor Lindelöf,12,1
10,Raphaël Varane,10,1
11,Casemiro,8,1
12,Hannibal Mejbri,5,1
13,André Onana,19,0
14,Antony,15,0
15,Harry Maguire,11,0
16,Jonny Evans,11,0
17,Aaron Wan-Bissaka,10,0
18,Sofyan Amrabat,10,0
19,Facundo Pellistri,9,0
20,Luke Shaw,8,0
21,Sergio Reguilón,8,0
22,Mason Mount,8,0
23,Kobbie Mainoo,5,0
24,Lisandro Martínez,5,0
25,Jadon Sancho,3,0
