Column1,Name,P,G
1,Chris Wood,17,7
2,Anthony Elanga,19,4
3,Taiwo Awoniyi,10,4
4,Morgan Gibbs-White,19,1
5,Orel Mangala,17,1
6,Willy Boly,14,1
7,Ola Aina,13,1
8,Harry Toffolo,12,1
9,Nicolás Domínguez,10,1
10,Callum Hudson-Odoi,10,1
11,Ryan Yates,16,0
12,Matt Turner,14,0
13,Murillo,13,0
14,Moussa Niakhaté,13,0
15,Sèrge Aurier,12,0
16,Danilo,12,0
17,Ibrahim Sangaré,11,0
18,Neco Williams,10,0
19,Cheikhou Kouyaté,10,0
20,Divock Origi,9,0
21,Joe Worrall,7,0
22,Odisseas Vlachodimos,5,0
23,Scott McKenna,5,0
24,Gonzalo Montiel,5,0
